Field Label,API Name,Data Type,Custom Field
Account Image,Record_Image,Record Image,
Account Key,Account_Key,Single Line (Unique),Yes
Account Name,Account_Name,Single Line (Unique),
Account Number,Account_Number,Long Integer,
Account Owner,Owner,Lookup,
Account Site,Account_Site,Single Line,
Account Type,Account_Type,Pick List,
Annual Revenue,Annual_Revenue,Currency,
Billing Address - City,Billing_City,Single Line,
Billing Address - Country / Region,Billing_Country,Pick List,
Billing Address - Flat / House No./ Bui...,Billing_Flat_House_No_Building_Apar...,Single Line,
Billing Address - Latitude,Billing_Latitude,Decimal,
Billing Address - Longitude,Billing_Longitude,Decimal,
Billing Address - State / Province,Billing_State,Pick List,
Billing Address - Street Address,Billing_Street,Single Line,
Billing Address - Zip / Postal Code,Billing_Code,Single Line,
Company Linkedin,Company_Linkedin,Single Line,Yes
Connected To,Connected_To__s,MultiModuleLookup,
Created By,Created_By,Single Line,
Description,Description,Multi Line (Large),
Employees,Employees,Number,
Fax,Fax,Fax,
Industry,Industry,Pick List,
Lost Reasons,Lost_Reasons,Pick List,Yes
Modified By,Modified_By,Single Line,
Ownership,Ownership,Pick List,
Parent Account,Parent_Account,Lookup,
Phone,Phone,Phone,
Rating,Rating,Pick List,
Shipping Address - City,Shipping_City,Single Line,
Shipping Address - Country / Region,Shipping_Country,Pick List,
Shipping Address - Flat / House No./ ...,Shipping_Flat_House_No_Building_A...,Single Line,
Shipping Address - Latitude,Shipping_Latitude,Decimal,
Shipping Address - Longitude,Shipping_Longitude,Decimal,
Shipping Address - State / Province,Shipping_State,Pick List,
Shipping Address - Street Address,Shipping_Street,Single Line,
Shipping Address - Zip / Postal Code,Shipping_Code,Single Line,
SIC Code,SIC_Code,Number,
State,State,Pick List,Yes
Status,Status,Pick List,Yes
Tag,Tag,Single Line,
Ticker Symbol,Ticker_Symbol,Single Line,
Website,Website,URL,
