Related List Label,API Name,Custom Related List
Attachments,Attachments,
Notes,Notes,
Contacts,Contacts,
Potentials,Deals,
Products,Products,
Quotes,Quotes,
SalesOrders,SalesOrders,
Invoices,Invoices,
Child Accounts,Child_Accounts,
Cases,Cases,
Emails,Emails,
Social,Social,
CheckLists,CheckLists,
Tasks,Tasks,
Events,Events,
Calls,Calls,
Tasks History,Tasks_History,
Events History,Events_History,
Calls History,Calls_History,
Locking Information,Locking_Information__s,
ChronologicalView,Activities_Chronological_View,
ChronologicalView History,Activities_Chronological_View_History,
Connected Records,Connected_Records__s,
Zoho Projects,Zoho_Projects,
Zoho Support,Zoho_Support,
