Field Label,API Name,Data Type,Custom Field
Call Agenda,Call_Agenda,Single Line,
Call Duration,Call_Duration,Single Line,
Call Owner,Owner,Lookup,
Call Purpose,Call_Purpose,Pick List,
Call Result,Call_Result,Pick List,
Call Start Time,Call_Start_Time,DateTime,
Call Type,Call_Type,Pick List,
Caller ID,Caller_ID,Single Line,
Contact Name,Who_Id,Lookup,
Created By,Created_By,Single Line,
Description,Description,Multi Line (Large),
Dialled Number,Dialled_Number,Single Line,
Modified By,Modified_By,Single Line,
Outgoing Call Status,Outgoing_Call_Status,Pick List,
Related To,What_Id,Lookup,
Scheduled in CRM,Scheduled_In_CRM,Pick List,
Tag,Tag,Single Line,
Voice Recording,Voice_Recording__s,URL,
