Related List Label,API Name,Custom Related List
Attachments,Attachments,
Notes,Notes,
Potentials,Deals,
Products,Products,
Cases,Cases,
Quotes,Quotes,
SalesOrders,SalesOrders,
PurchaseOrders,PurchaseOrders,
Emails,Emails,
Invoices,Invoices,
Campaigns,Campaigns,
Invited Meetings,Invited_Events,
Social,Social,
CheckLists,CheckLists,
Reporting Contacts,Reporting_Contacts,
Tasks,Tasks,
Events,Events,
Calls,Calls,
Tasks History,Tasks_History,
Events History,Events_History,
Calls History,Calls_History,
Locking Information,Locking_Information__s,
ChronologicalView,Activities_Chronological_View,
ChronologicalView History,Activities_Chronological_View_History,
Cadences,Entity_Cadences_contacts,
Connected Records,Connected_Records__s,
Connected Record Child1,Connected_Record_Child1,
Zoho Projects,Zoho_Projects,
Zoho Support,Zoho_Support,
Zoho Survey,Zoho_Survey,
Visits - Zoho Livedesk,Visits_Zoho_Livedesk,
Products1,Products12,✓
