Related List Label,API Name,Custom Related List
Attachments,Attachments,
Competitors,Competitors,
Notes,Notes,
Stage History,Stage_History,
Products,Products,
Quotes,Quotes,
SalesOrders,SalesOrders,
Contact Roles,Contact_Roles,
Emails,Emails,
Cases,Cases,
CheckLists,CheckLists,
Tasks,Tasks,
Events,Events,
Calls,Calls,
Tasks History,Tasks_History,
Events History,Events_History,
Calls History,Calls_History,
Invoices,Invoices,
Locking Information,Locking_Information__s,
ChronologicalView,Activities_Chronological_View,
ChronologicalView History,Activities_Chronological_View_History,
Cadences,Entity_Cadences_Potentials,
Deal Team,Deal_Team__s,
Connected Records,Connected_Records__s,
Zoho Projects,Zoho_Projects,
Zoho Survey,Zoho_Survey,
