Field Label,API Name,Data Type,Custom Field,Formula,Pick List Values,Deletion Dependency / Deletion Note
Active for Deal Auto,Active_for_Deal_Auto,Boolean,TRUE,,,
Commission Rate,Commission_Rate,Currency,,,,
Connected To,Connected_To,MultiModuleLookup	,,,,
Contacts,Contacts,MultiModuleLookup,TRUE,,,
Created By,Created_By,Single Line,,,,
CRM Product Type,CRM_Product_Type,Pick List,TRUE,,,
Default Deal Value,Default_Deal_Value,Currency,TRUE,,,
Description,Description,Multi Line (Large),,,,
Handler,Handler,Lookup,,,,
Leads,Leads,Multi-Select Lookup,TRUE,,,
Manufacturer,Manufacturer,Pick List,,,,
Modified By,Modified_By,Single Line,,,,
Needs Manual Pricing,Needs_Manual_Pricing,Boolean,TRUE,,,
Product Active,Product_Active,Boolean,,,,
Product Category,Product_Category,Pick List,,,,
Product Code,Product_Code,Single Line,,,,
Product Image,Product_Image,Record Image,,,,
Product Mapping Aliases,Product_Mapping_Aliases,Multi Line (Small),TRUE,,,
Product Name,Product_Name,Single Line (Unique),,,
Product Plan Products,Product_Plan_Products,Pick List,TRUE,,(verified live 2026-06-26) family: Jurnii UX / Jurnii 360 / Jurnii Cortex
Product Plan Type,Product_Plan_Type,Pick List,TRUE,,(verified live 2026-06-26) Fixed / Flex,
Product Owner,Owner,Lookup,,,,
Qty in Demand,Qty_in_Demand,Decimal,,,,
Qty in Stock,Qty_in_Stock,Decimal,,,,
Qty Ordered,Qty_Ordered,Decimal,,,,
Reorder Level,Reorder_Level,Decimal,,,,
Sales End Date,Sales_End_Date,Date,,,,
Sales Start Date,Sales_Start_Date,Date,,,,
Support Expiry Date,Support_Expiry_Date,Date,,,,
Support Start Date,Support_Start_Date,Date,,,,
Tag,Tag,Single Line,,,,
Tax,Tax,Multiselect,,,,
Taxable,Taxable,Boolean,,,,
Unit Price,Unit_Price,Currency,,,,
Usage Unit,Usage_Unit,Pick List,,,,
Value Calculation Method,Value_Calculation_Method,Pick List,TRUE,,,
Vendor Name,Vendor_Name,Lookup,,,,
