Related List Label,API Name,Custom Related List
Price Books,Price_Books,
Attachments,Attachments,
Cases,Cases,
Solutions,Solutions,
Contacts,Contacts,
Leads,Leads,
Potentials,Deals,
Accounts,Accounts,
Notes,Notes,
CheckLists,CheckLists,
Tasks,Tasks,
Events,Events,
Calls,Calls,
Tasks History,Tasks_History,
Events History,Events_History,
Calls History,Calls_History,
ChronologicalView,Activities_Chronological_View,
ChronologicalView History,Activities_Chronological_View_History,
Locking Information,Locking_Information__s,
Connected Records,Connected_Records__s,
Leads1,Leads11,✓
Contacts1,Contacts12,✓
