,Brands,Jurnii UX Fixed Sub,Jurnii UX Flex Sub,Jurnii UX Fixed Sub PPB,Jurnii UX Flex Sub PPB,Jurnii 360 4x per day,Jurnii 360 2x per day,Jurnii 360 1x per day,Jurnii 360 4x per day PPB,Jurnii 360 2x per day PPB,Jurnii 360 1x per day PPB
Base,5,"£10,500.00","£8,400.00","£2,100.00","£1,680.00","£76,800.00","£65,280.00","£53,760.00","£15,360.00","£13,056.00","£10,752.00"
Base,7,"£14,700.00","£11,760.00","£2,100.00","£1,680.00",,,,,,
Base,10,"£18,480.00","£14,784.00","£1,848.00","£1,478.40","£138,240.00","£117,504.00","£96,768.00","£13,824.00","£11,750.40","£9,676.80"
Base,15,"£24,507.00","£19,605.60","£1,633.80","£1,307.04",,,,,,
Base,20,"£29,400.00","£23,520.00","£1,470.00","£1,176.00","£248,832.00","£211,507.00","£174,182.00","£12,441.60","£10,575.35","£8,709.10"
Base,50,"£63,000.00","£50,400.00","£1,260.00","£1,008.00","£466,598.00","£396,056.00","£326,303.00","£9,331.96","£7,921.12","£6,526.06"
Base,100,"£119,000.00","£95,200.00","£1,190.00",£952.00,,,,,,
Markup,5,"£13,650.00","£10,920.00","£2,730.00","£2,184.00","£99,840.00","£65,280.00","£53,760.00","£19,968.00","£13,056.00","£10,752.00"
Markup,7,"£19,110.00","£15,288.00","£2,730.00","£2,184.00",,,,,,
Markup,10,"£24,024.00","£19,219.20","£2,402.40","£1,921.92","£179,712.00","£117,504.00","£96,768.00","£17,971.20","£11,750.40","£9,676.80"
Markup,15,"£31,859.10","£25,487.28","£2,123.94","£1,699.15",,,,,,
Markup,20,"£38,220.00","£30,576.00","£1,911.00","£1,528.80","£323,481.60","£211,507.00","£174,182.00","£16,174.08","£10,575.35","£8,709.10"
Markup,50,"£81,900.00","£65,520.00","£1,638.00","£1,310.40","£606,577.40","£396,056.00","£326,303.00","£12,131.55","£7,921.12","£6,526.06"
Markup,100,"£154,700.00","£123,760.00","£1,547.00","£1,237.60",,,,,,
Agency,5,"£17,745.00","£14,196.00","£3,549.00","£2,839.20","£129,792.00","£65,280.00","£53,760.00","£25,958.40","£13,056.00","£10,752.00"
Agency,7,"£24,843.00","£19,874.40","£3,549.00","£2,839.20",,,,,,
Agency,10,"£31,231.20","£24,984.96","£3,123.12","£2,498.50","£233,625.60","£117,504.00","£96,768.00","£23,362.56","£11,750.40","£9,676.80"
Agency,15,"£41,416.83","£33,133.46","£2,761.12","£2,208.90",,,,,,
Agency,20,"£49,686.00","£39,748.80","£2,484.30","£1,987.44","£420,526.08","£211,507.00","£174,182.00","£21,026.30","£10,575.35","£8,709.10"
Agency,50,"£106,470.00","£85,176.00","£2,129.40","£1,703.52","£788,550.62","£396,056.00","£326,303.00","£15,771.01","£7,921.12","£6,526.06"
Agency,100,"£201,110.00","£160,888.00","£2,011.10","£1,608.88",,,,,,
